00-01-expert-mindset.md	0.1	Why Good Business Beats Clever Bidding
00-02-offer-research-framework.md	0.2	How to Build an Offer People Want
00-03-funnel-math-mastery.md	0.3	The Numbers Every Advertiser Must Know
00-04-poas-profit-on-ad-spend.md	0.4	Profit, Not Just Sales: Why ROAS Can Lie
00-05-landing-pages-cro-for-paid-traffic.md	0.5	Landing Pages That Turn Clicks Into Sales
00-06-lead-quality-framework.md	0.6	Why Cheap Leads Can Be Worth Nothing
00-07-pakistan-founders-module.md	0.7	Getting Paid and Staying Legal in Pakistan
01-01-auction-system-deconstructed.md	1.1	How Google Decides Which Ad Shows First
01-02-full-funnel-stack-goal-maturity-matrix.md	1.2	Which Campaign Type Should You Use?
01-03-pro-ui-setup-2026.md	1.3	Set Up Google Ads to Show You Profit
01-04-account-architecture-for-scale.md	1.4	How to Organise Your Campaigns
01-05-policy-and-survival.md	1.5	Avoid Getting Your Account Suspended
02-01-professional-account-creation.md	2.1	Create Your Account Without Costly Mistakes
02-02-the-core-stack.md	2.2	Connect GA4, Search Console and Merchant Center
02-03-conversion-strategy.md	2.3	Choose What Counts as a Conversion
02-04-gtm-mastery.md	2.4	Track Conversions With Google Tag Manager
02-05-tag-validation-protocol.md	2.5	Check That Your Tracking Really Works
02-06-first-party-data-foundation.md	2.6	Save the Click ID So You Can Use It Later
03-01-search-intent-spectrum.md	3.1	What People Really Want When They Search
03-02-keyword-research-stack.md	3.2	How to Find Keywords Worth Paying For
03-03-match-types-in-the-ai-era.md	3.3	Match Types: How Much Control to Give Google
03-04-negative-system-and-ngram-analysis.md	3.4	Stop Wasting Money on the Wrong Searches
03-05-intent-clusters.md	3.5	Group Your Keywords the Right Way
04-01-responsive-search-ads-framework.md	4.1	Write Responsive Search Ads That Get Clicks
04-02-asset-mastery.md	4.2	Add Sitelinks, Callouts and Images
04-03-copywriting-and-prompt-engineering.md	4.3	Write Better Ads, and Use AI to Help
04-04-campaign-settings-deep-dive.md	4.4	The Settings That Quietly Waste Your Money
04-05-quality-score-engineering.md	4.5	Raise Your Quality Score and Pay Less
04-06-live-build-one-perfect-campaign.md	4.6	Build a Complete Campaign, Step by Step
